path,total_frames,drops,drop_rate%,max_ifi_ms
sub-003\trial_summary\pair_030\frame_log.csv,562,4,0.71,110.13
sub-003\trial_summary\pair_031\frame_log.csv,616,4,0.65,72.17
sub-003\trial_summary\pair_032\frame_log.csv,571,4,0.7,87.39
sub-003\trial_summary\pair_033\frame_log.csv,870,4,0.46,78.4
sub-003\trial_summary\pair_034\frame_log.csv,674,4,0.59,92.78
sub-003\trial_summary\pair_035\frame_log.csv,572,4,0.7,61.35
sub-003\trial_summary\pair_036\frame_log.csv,603,4,0.66,92.05
sub-003\trial_summary\pair_037\frame_log.csv,632,4,0.63,142.28
sub-003\trial_summary\pair_038\frame_log.csv,561,4,0.71,96.55
sub-003\trial_summary\pair_039\frame_log.csv,522,4,0.77,84.25
sub-003\trial_summary\pair_040\frame_log.csv,847,4,0.47,95.19
sub-003\trial_summary\pair_041\frame_log.csv,549,4,0.73,89.78
sub-003\trial_summary\pair_042\frame_log.csv,611,4,0.65,108.87
sub-003\trial_summary\pair_043\frame_log.csv,607,4,0.66,78.3
sub-003\trial_summary\pair_044\frame_log.csv,579,4,0.69,76.35
sub-003\trial_summary\pair_045\frame_log.csv,605,4,0.66,90.63
sub-003\trial_summary\pair_046\frame_log.csv,570,4,0.7,96.11
sub-003\trial_summary\pair_047\frame_log.csv,553,4,0.72,104.23
sub-003\trial_summary\pair_048\frame_log.csv,539,4,0.74,82.4
sub-003\trial_summary\pair_049\frame_log.csv,606,4,0.66,93.35
sub-003\trial_summary\pair_050\frame_log.csv,596,4,0.67,75.41
sub-003\trial_summary\pair_051\frame_log.csv,661,4,0.61,117.89
sub-003\trial_summary\pair_052\frame_log.csv,557,4,0.72,84.04
sub-003\trial_summary\pair_053\frame_log.csv,611,4,0.65,70.09
sub-003\trial_summary\pair_054\frame_log.csv,876,4,0.46,78.44
sub-003\trial_summary\pair_055\frame_log.csv,574,4,0.7,76.45
sub-003\trial_summary\pair_056\frame_log.csv,602,4,0.66,103.45
sub-003\trial_summary\pair_057\frame_log.csv,625,4,0.64,109.1
sub-003\trial_summary\pair_058\frame_log.csv,562,4,0.71,82.79
sub-003\trial_summary\pair_059\frame_log.csv,578,4,0.69,80.41
sub-003\trial_summary\pair_060\frame_log.csv,550,4,0.73,90.85
sub-003\trial_summary\pair_061\frame_log.csv,554,4,0.72,85.27
sub-003\trial_summary\pair_062\frame_log.csv,699,4,0.57,81.23
sub-003\trial_summary\pair_063\frame_log.csv,576,4,0.69,87.1
sub-003\trial_summary\pair_064\frame_log.csv,534,4,0.75,78.67
sub-003\trial_summary\pair_065\frame_log.csv,510,3,0.59,73.12
sub-003\trial_summary\pair_066\frame_log.csv,635,4,0.63,80.69
sub-003\trial_summary\pair_067\frame_log.csv,592,4,0.68,82.86
sub-003\trial_summary\pair_068\frame_log.csv,583,4,0.69,113.36
sub-003\trial_summary\pair_069\frame_log.csv,531,4,0.75,103.79
sub-003\trial_summary\pair_070\frame_log.csv,630,4,0.63,78.92
sub-003\trial_summary\pair_071\frame_log.csv,593,4,0.67,92.66
sub-003\trial_summary\pair_072\frame_log.csv,547,4,0.73,76.22
sub-003\trial_summary\pair_073\frame_log.csv,574,4,0.7,83.16
sub-003\trial_summary\pair_074\frame_log.csv,623,4,0.64,84.15
sub-003\trial_summary\pair_075\frame_log.csv,596,4,0.67,95.73
sub-003\trial_summary\pair_076\frame_log.csv,1091,4,0.37,84.18
sub-003\trial_summary\pair_077\frame_log.csv,628,4,0.64,75.45
sub-003\trial_summary\pair_078\frame_log.csv,656,4,0.61,83.33
sub-003\trial_summary\pair_079\frame_log.csv,564,4,0.71,75.01
sub-003\trial_summary\pair_080\frame_log.csv,863,4,0.46,101.29
sub-003\trial_summary\pair_081\frame_log.csv,555,4,0.72,77.58
sub-003\trial_summary\pair_082\frame_log.csv,623,4,0.64,78.85
sub-003\trial_summary\pair_083\frame_log.csv,591,4,0.68,119.8
sub-003\trial_summary\pair_084\frame_log.csv,627,4,0.64,116.74
sub-003\trial_summary\pair_085\frame_log.csv,573,4,0.7,78.89
sub-003\trial_summary\pair_086\frame_log.csv,618,4,0.65,100.27
sub-003\trial_summary\pair_087\frame_log.csv,628,4,0.64,86.45
sub-003\trial_summary\pair_088\frame_log.csv,603,4,0.66,92.47
